"d(N,RE)","d(N,LE)","d(N,RM)","d(N,LM)","d(N,F)"
48.26495484,34.78991452,40.91420663,30.5333521,111.3611734
45.61442966,36.57153315,35.66886952,29.24947444,106.4448753
49.86655196,38.1600576,40.20826774,29.38024096,109.0596745
45.64020754,36.38722941,41.50914386,30.3007654,107.5206027
46.60069669,36.48146437,38.40615209,28.21278967,108.0735625
47.76147812,36.9070865,37.54602765,28.10968908,108.8477665
44.97955957,36.08257233,38.22155985,30.61844569,104.333153
48.29571383,36.46808376,36.40274916,26.27339934,111.1259277
45.50436393,34.9958969,35.89092352,26.04471336,110.1670437
45.16297035,36.84685106,36.95018469,28.07932878,107.1802361
45.47596804,35.2101801,36.9592033,27.17063526,109.344384
43.55496046,35.46852035,38.67451767,27.45550008,106.4916199
44.94686733,33.5792658,37.74183544,28.2028324,106.8990115
44.7974771,33.52291744,39.08214274,29.91815492,107.9910846
44.21539229,32.71145765,37.77300095,29.57557808,109.8833441
43.50966862,34.69258126,36.13271324,28.21958431,106.5685114
48.3213848,38.75223613,37.92276651,28.07126926,108.8395103
48.38974181,35.56131667,38.20325507,26.80161239,109.9283429
44.72859238,33.48175772,37.16697249,29.3642234,107.0771177
43.00406815,32.35776231,39.62118021,31.91187498,109.0582434
47.30340931,34.69448562,41.97357695,31.42961784,105.9610113
43.93680065,37.83453501,38.6740236,30.6300842,105.1258743
46.3163218,33.27177546,37.66859319,31.17348182,108.8821334
49.86365227,32.42358544,38.89098107,29.44692476,111.7239572
47.16244382,32.77560227,38.13936913,30.93780196,104.6137261
45.10864358,31.57679402,36.2534803,29.89440761,108.7260945
43.07692767,31.25626813,39.73658651,30.75629596,102.1523256
46.02798253,31.59987389,42.31218868,31.1431948,107.1244856
43.2470208,31.57679402,38.84012965,30.70335202,106.4668807
45.19288929,33.11387952,38.12490442,32.70800244,102.8547688
44.14033833,31.82410858,41.42289601,33.15226323,104.3840059
42.85311728,31.73987639,40.20813903,31.2401219,103.499329
43.80061988,32.39101618,42.87477826,33.7253476,106.6356876
45.44058115,31.83719475,42.50868941,33.87574436,106.1022716
45.8326437,39.43808178,40.33272645,33.22540456,102.5043674
41.44437285,33.5190956,43.18136346,35.19609766,103.8222514
42.2453528,33.0808223,45.70402659,34.4510781,104.8450045
40.9494893,32.27150725,40.97663823,34.15398983,104.1534234
39.80716282,29.57946096,39.18408306,34.22856729,100.0865369
38.51653403,29.62093001,43.92287271,38.39283934,103.4613149
41.95333951,30.70740054,42.17228257,34.62821225,102.6827981
41.68222467,31.39840388,42.12490724,35.43271192,101.9885413
44.35228292,30.3786107,44.80911506,30.6266607,109.5659543
43.92621854,32.91066384,37.73200746,31.46260307,104.3054835
51.20979859,33.98082943,42.49550486,32.34888577,108.3805387
47.0028866,36.91505873,37.36498526,33.15515634,106.1570443
45.97584546,40.92024547,31.56743059,28.41979198,103.0790104
45.36584191,39.9072614,36.01165801,37.87412853,100.4551564
47.26274154,36.56683139,40.32151742,32.55249474,102.3009728
46.86855688,40.33821895,40.29953984,34.32600609,98.9280958
42.88716554,41.87805085,38.40347169,40.94925519,97.4823826
46.50389385,38.38027174,40.18969799,29.42955324,98.43482357
43.33047582,36.58679747,42.83982442,35.24562747,100.1225387
45.95922908,37.97282881,39.98071369,36.96470907,99.4748331
